Word,Relevance
telecommunication,0.7135
systems,0.4358
universal,0.3585
utsys,0.3207
inc,0.2508
copyright,0.1706
com,0.1682
1996,0.162
2009,0.1593
reserved,0.1075
and,0.1014
all,0.0964
rights,0.0844
