Word,Score
email_andrea,0.06903657962926439
fire_hazard,0.06287350688610478
cloudflar,0.061238278062793534
fire_fighter,0.05667757838121687
email,0.051337790074049976
fire_fighter,0.05118243987232816
email,0.0498389444946266
servic_compani,0.047412734154381915
fire_fighter,0.044721363653984825
fire_fighter,0.042767376322154944
alarm_system,0.04244221039831953
system,0.04163031368029116
websit,0.04083077710921965
fire_extinguish,0.040711304620554584
fire_fighter_sale,0.039165372082307
servic_compani,0.03753423134122457
fire_fighter_sale,0.03716787709075373
fire_fighter_sale,0.036813782996916324
team,0.03507146026145359
sprinkler_system,0.033767326813966034
safeti,0.032316263459152776
servic,0.030577258371541755
state-of-the-art_fire_extinguish_train,0.03020951370189667
clean_agent_system,0.029433204064793838
fire_fighter,0.02931444015102336
detail,0.02910292247870641
fire_fighter_sale,0.029009208332878875
instal,0.028729978629180558
servic_compani,0.028523057312833652
inspect,0.028502354917905832
instal,0.027785060962458023
email_alley,0.027631267972719295
morgantown_secur,0.027280208369441068
emerg,0.027227141092870524
fire_alarm_instal,0.027006388679048032
fire_fighter,0.026358415722175437
proper_fire_protect,0.025573806951774157
fire_alarm_system,0.025103526120929445
servic_co,0.024646136372670095
detect_system,0.024336997307689595
order,0.024018780514419955
click,0.023815782702772566
best_servic,0.023757794102977674
email,0.023550122836348254
fire_extinguish,0.02324443613053937
exit,0.023197431254377864
page,0.02294885477092584
team,0.0225751176869517
gener_manag,0.021888102895759695
dual_agent_fire_extinguish_system,0.02168613475202919
fire_safeti_inspect,0.02167735031745463
servic,0.02146683922415381
custom_servic,0.020820186625433612
secur_platform_alert,0.020796606984534217
servic,0.020753657112382168
annual_test_form,0.02075264072345547
equip,0.02048570105182743
system,0.020003350538147988
equip,0.019629723786110317
email,0.019599794945407305
fire_safeti_equip,0.019482723499592434
spammer,0.019438079580522974
servic_compani,0.019298376302343517
fire_protect,0.019073898175192987
busi_hour,0.01873487282003129
detect_system,0.018698616157432728
mainten,0.0186139087859701
great_job,0.01844922309880339
servic,0.018211676290753043
team,0.0181967380115876
instal,0.01816290894230664
new_system,0.01814190836158878
fire_extinguish,0.01809678327240383
sprinkler_design,0.01778930669898351
residenti_custom,0.01776638158124151
sprinkler_system,0.017752987517776216
need,0.017605439246872433
emerg_light,0.01760450375729732
fire_extinguish,0.017393482055760797
expert_team_member,0.017102607992529918
commerci_organ,0.01703778804410938
fire_protect_system,0.01701786888222612
electron_safeti_system,0.016805032463535065
expert,0.01679512355581951
rinkler_system,0.016752984523938357
servic_peopl,0.016589471526213456
industri,0.0164646302587226
fire_pump,0.016389458193745453
team,0.016384772110335195
cloudflar,0.01630743401280808
email,0.016289017780534137
compani,0.015832689391469264
system,0.01581389555682806
highest_qualiti_fire_protect_product,0.015575722485221826
sprinkler,0.015541871609531946
facil,0.015492918820206505
facil,0.015398149586778681
access_control,0.01531758460492501
marin_fire_protect_system,0.015283928766066048
profession,0.015264992147493472
gener_manag,0.015194360859504367
team,0.014836803848229439
director,0.0148321368165493
instal,0.014791223702709971
instal,0.014760930245429318
batteri,0.01470778426514668
extinguish,0.014693811753347514
custom_servic_skill,0.014598976364539306
email,0.014540070922276327
tech,0.0144121175774175
email,0.014380473911847883
facil,0.01434714630967953
repair,0.014290027561833667
browser,0.01425447346557749
team,0.01423131217247363
anthoni_catroppo,0.014225017117385316
repair,0.014197318815993992
expert_team_member,0.01417271525725757
need,0.014109211833871822
fleet,0.014103249211390716
evacu,0.014033361712517777
inspect,0.013997810099074212
test,0.013902715400209162
repair,0.013851363216345636
cabinet,0.013743699665541698
specif_busi_need,0.013729479247731793
sure,0.0137281481485876
properti,0.013672407578281268
voic_evacu_system,0.01364114005266794
profession,0.01359245781330572
servic_depart_manag,0.013578548396543943
new,0.013497173983350668
specif_code_requir,0.013364515070635402
industri_process,0.013331292614144235
test,0.013248499208897375
javascript,0.013239877203701789
instal,0.013224286074939128
design,0.013207636452923461
cabinet,0.013158557721168376
well-train_technician,0.013111455175925924
emerg_exit_light,0.01310529081653404
facil,0.013062426332915532
email,0.012822090689781853
residenti_custom,0.012787599811873565
electron_safeti,0.01275651280987473
industri,0.012727604632381427
e-mail_address,0.012715304303690257
warrendal,0.012714382514728314
equip,0.012677801542794647
email,0.012651815767496992
great_team,0.012635305749976483
toll_free,0.012584057124016307
compani,0.012580237371390279
new,0.012564010231743987
facil,0.012511361449504347
interest,0.012508628984244739
team,0.012437885270785523
detect,0.012377524193217842
replac,0.012263916421084537
psychiatr_facil,0.012206451733425784
test,0.012160123743907608
question,0.012144026147173102
organ,0.01200209233340175
access,0.011949992395880703
custom_servic,0.011703326455915935
custom,0.011681421649263791
family-own_busi,0.011623199161534339
inspect,0.011614711836209417
emerg_light,0.011549571509846958
dri,0.01153101872860875
time,0.011530694228990638
valuabl_news,0.011501502272201102
technician,0.011484724934309349
healthcar_facil,0.011465803655286091
wet,0.011460149090539249
busi,0.011455836575368113
page,0.011376180704814685
best_defens,0.011302977241038462
train_video,0.011251534581163567
expert,0.011179443053565044
expert_team_member,0.011155993356218303
design,0.011122775343111737
mainten,0.011042241313378491
detect_system,0.010977712820917666
safeti,0.010911393707140666
sprinkler_system,0.010901653107116088
sprinkler,0.01086504225323337
commerci,0.0108602256883479
protect,0.010850094160126635
emerg_light,0.010764592653379618
industri,0.010755454566019469
expert_team_member,0.010748320146439446
director,0.010678300315141602
websit,0.010638090925086672
properti_loss,0.010598718042022044
proper_test_date,0.010586559155583004
batteri,0.010579380891569545
servic_compani,0.010533213564448841
inspect,0.010514838543671055
