Word,tfidf
fire,0.47390316297550644
vsc,0.34207849687758696
security,0.240641514512448
safety,0.16438289866875583
theme,0.15280663819912513
protection,0.13746809307686447
meehan,0.13298229214488258
control,0.12661534888658568
join,0.12024840562828881
read,0.10780392562343581
color,0.1070804093440839
find,0.10650159632060237
systems,0.10505456376189852
carolina,0.10447575073841699
year,0.09839821399186088
locations,0.09593825864206436
central,0.09507003910684206
ceo,0.09492533585097167
company,0.09333360003639746
sprinkler,0.09246538050117514
announces,0.09188656747769361
customers,0.08884779910441556
phone,0.08783487631332287
knox,0.08725606328984134
learn,0.0849408111959152
richmond,0.08407259166069289
team,0.08363848189308175
fdc,0.08161263631089638
beach,0.08117852654328522
inc,0.07900797770522947
virginia,0.0769821321230441
world,0.0735092539821549
services,0.07307514421454374
group,0.07061518886474721
president,0.07061518886474721
arkansas,0.0698916725853953
career,0.06960226607365454
oklahoma,0.06743171723559878
addison,0.06685290421211725
katie,0.06468235537406149
retirement,0.06424824560645034
installation,0.06352472932709842
professional,0.06338002607122804
young,0.06251180653600573
commercial,0.06120947723317228
opportunities,0.059762444674468444
life,0.057302489324671926
touch,0.05382961118378272
function,0.05136965583398619
springfield,0.051080249322245426
charlotte,0.05035673304289351
city,0.05006732653115274
fort,0.05006732653115274
worth,0.05006732653115274
apply,0.049777920019411975
baltimore,0.04948851350767121
years,0.049343810251800825
true,0.04919910699593044
banks,0.04847559071657852
charleston,0.04847559071657852
jonesboro,0.04847559071657852
madison,0.04847559071657852
myrtle,0.04847559071657852
orlando,0.04847559071657852
greenville,0.0477520744372266
job,0.047462667925485834
var,0.04717326141374507
dallas,0.0468838549020043
northwest,0.0468838549020043
outer,0.0468838549020043
roanoke,0.0468838549020043
service,0.0468838549020043
inside,0.04630504187852277
work,0.0451474158315597
program,0.045002712575689316
mt,0.04471330606394855
markel,0.044568602808078166
family,0.04442389955220778
inspection,0.042687460481763174
equipment,0.042253350714152024
login,0.04109572466718896
repair,0.04037220838783704
director,0.0397933953643555
new,0.039214582340873966
rewarding,0.03906987908500358
companies,0.038780472573262816
based,0.03863576931739243
association,0.03776754978217013
alarm,0.03675462699107745
ventures,0.036609923735207064
ashland,0.03646522047933668
amf,0.035597000944114374
industry,0.03530759443237361
provide,0.03530759443237361
address,0.03501818792063284
available,0.03487348466476246
low,0.03487348466476246
voltage,0.03487348466476246
size,0.03472878140889207
american,0.03414996838541054
false,0.03414996838541054
marketing,0.03414996838541054
bakery,0.03371585861779939
comments,0.033571155361929006
rest,0.03342645210605862
travelers,0.03342645210605862
inspections,0.03299234233844747
acquisition,0.03284763908257709
food,0.03284763908257709
michael,0.03284763908257709
serve,0.03284763908257709
acquires,0.03255823257083632
fast,0.03255823257083632
hand,0.03255823257083632
primary,0.03241352931496594
transition,0.03212412280322517
effective,0.03197941954735479
headquartered,0.03197941954735479
making,0.03197941954735479
fill,0.03154530977974363
added,0.03140060652387325
december,0.03140060652387325
names,0.03140060652387325
plans,0.03140060652387325
plus,0.03140060652387325
trusted,0.031255903268002865
good,0.031111200012132485
data,0.030821793500391718
form,0.030677090244521334
chance,0.03024298047691018
convenient,0.03024298047691018
eating,0.03024298047691018
hamburger,0.03024298047691018
immediately,0.03024298047691018
named,0.03024298047691018
remainder,0.03024298047691018
restaurant,0.03024298047691018
retiring,0.03024298047691018
bun,0.029519464197558264
got,0.029519464197558264
government,0.029519464197558264
atlantamaryland,0.02937476094168788
beachtexas,0.02937476094168788
explore,0.02937476094168788
houstonvirginia,0.02937476094168788
mobilearkansas,0.02937476094168788
multiple,0.02937476094168788
pascagoulanorth,0.02937476094168788
personalized,0.02937476094168788
raleighoklahoma,0.02937476094168788
salisburymississippi,0.02937476094168788
tampageorgia,0.02937476094168788
texarkanaflorida,0.02937476094168788
tulsasouth,0.02937476094168788
